"FKKN","NGE","Ngaoundere","07.34599400:013.55473600","FK","Cameroon"
"FNGI","NGV","Ngiva","-17.03730600:015.67000300","FN","Angola"
"YNGU","RPM","Ngukurr","-14.72055247:134.74129171","YN","Australia"
"VVNT","NHA","Nhatrang","12.23181100:109.18452200","VV","Vietnam"
"CYSN","YSN","Niagara District","43.18792200:-079.17860000","CY","Canada"
"DXNG","LRL","Niamtougou International","09.75683300:001.08700000","DX","Togolese Republic"
"LFMN","NCE","Nice Cote D Azur","43.65164000:007.20407400","LF","France"
"EDLV","NRN","Niederrhein","51.60284400:006.12453600","ED","Germany"
"PAGT","NME","Nightmute","60.46857471:-164.68832080","PA","Alaska"
"RJSN","KIJ","Niigata","37.95684400:139.09561900","RJ","Japan"
"PAFS","NIB","Nikolai","63.01610300:-154.36920000","PA","Alaska"
"PAKO","IKO","Nikolski As","52.94159400:-168.85700000","PA","Alaska"
"UHPX","","Nikolskoye","55.17482559:166.04477873","UH","Russia"
"LFBN","NIT","Niort Souche","46.30833600:-000.41209700","LF","France"
"CYBU","YBU","Nipawin","53.32937222:-104.01314273","CY","Canada"
"LYNI","INI","Nis","43.34124200:021.84128600","LY","Serbia and Montenegro"
"NIUE","IUE","Niue Intl","-19.07644400:-169.93605600","NI","Niue"
"USNN","NJC","Nizhnevartovsk","60.93872500:076.46381400","US","Russia"
"DNAA","ABV","Nnamdi Azikiwe Intl","08.99343900:007.25373600","DN","Nigeria"
"PAWN","WTK","Noatak","67.56708300:-162.96944400","PA","Alaska"
"PAOM","OME","Nome","64.51430300:-165.46801700","PA","Alaska"
"BINF","NOR","Nordfjordur","65.12978885:-013.75205383","BI","Iceland"
"YSNF","NLK","Norfolk Island Intl","-29.03644200:167.92974200","YS","Australia"
"MKJP","KIN","Norman Manley Intl","17.94025800:-076.79945300","MK","Jamaica"
"CYVQ","YVQ","Norman Wells","65.28555600:-126.81539200","CY","Canada"
"MYEN","NMC","Normans Cay","24.59050000:-076.82212800","MY","Bahamas"
"YNTN","NTN","Normanton","-17.68082625:141.06740300","YN","Australia"
"ESSP","NRK","Norrkoping Kungsangen","58.58611400:016.23169200","ES","Sweden"
"CYQW","YQW","North Battleford","52.77416498:-108.25078711","CY","Canada"
"CYYB","YYB","North Bay","46.35749700:-079.44083300","CY","Canada"
"MBNC","NCA","North Caicos","21.91545600:-071.94538100","MB","Turks and Caicos Islands"
"MYEH","ELH","North Eleuthera","25.47254700:-076.68983600","MY","Bahamas"
"EGEN","NRL","North Ronaldsay","59.36740845:-002.43018077","EG","United Kingdom"
"EGBK","ORM","Northampton","52.30147731:-000.79520709","EG","United Kingdom"
"EGWU","NHT","Northolt","51.55005794:-000.43101945","EG","United Kingdom"
"PAOR","ORT","Northway","62.96008800:-141.93867500","PA","Alaska"
"CYNE","YNE","Norway House","53.95555695:-097.85137645","CY","Canada"
"EGSH","NWI","Norwich","52.67583100:001.26905300","EG","United Kingdom"
"MRNS","NOM","Nosara","09.97283100:-085.65562500","MR","Costa Rica"
"OINN","NSH","Noshahr","36.66655300:051.45443100","OI","Iran"
"RJNW","NTQ","Noto","37.28957500:136.95157500","RJ","Japan"
"EGBN","NQT","Nottingham","52.91972500:-001.08583300","EG","United Kingdom"
"EGNX","EMA","Nottingham East Midlands","52.83060800:-001.34957200","EG","United Kingdom"
"GQPP","NDB","Nouadhibou","20.92231700:-017.03281700","GQ","Mauritania"
"GQNN","NKC","Nouakchott","18.08706400:-015.95679700","GQ","Mauritania"
"NWWW","NOU","Noumea La Tontouta","-22.00756169:166.20101898","NW","New Caledonia"
"NWWM","GEA","Noumea Magenta","-22.25258900:166.47265300","NW","New Caledonia"
"DAUG","GHA","Noumerat","32.38392500:003.79447200","DA","Algeria"
"SWNK","BCR","Novo Campo","-08.82735600:-067.31303600","SW","Brazil"
"UNCC","i","Novosibirsk Severny","55.08425465:082.90272937","UN","Russia"
"UNNT","OVB","Novosibirsk Tolmachevo","55.01009562:082.62276367","UN","Russia"
"UHHH","KHV","Novy","48.51468300:135.17275600","UH","Russia"
"YSNW","NOA","Nowra","-34.94788104:150.52659182","YS","Australia"
"SUSO","STY","Nueva Hesperides Intl","-31.44405300:-057.99053600","SU","Uruguay"
"PAQT","NUI","Nuiqsut","70.20788900:-151.02197200","PA","Alaska"
"NTMD","NHV","Nuku Hiva","-08.79841700:-140.23595300","NT","French Polynesia"
"PANU","NUL","Nulato","64.72524700:-158.08278300","PA","Alaska"
"WABF","FOO","Numfor/kemiri (dgac)","-00.95065197:134.81750376","WA","Indonesia"
"WRLF","NNX","Nunukan (dgac)","04.13930245:117.66411214","WR","Indonesia"
"EDDN","NUE","Nurnberg","49.50055365:011.05918359","ED","Germany"
"BGGH","GOH","Nuuk","64.18897500:-051.67955300","BG","Greenland"
"YBOK","OKY","Oakey","-27.40266917:151.73709385","YB","Australia"
"NZOU","OAM","Oamaru","-44.95984200:171.08522200","NZ","New Zealand, Antarctica"
"EGEO","OBN","Oban","56.45506700:-005.40539400","EG","United Kingdom"
"SKPD","PDA","Obando","03.86151400:-067.90776100","SK","Colombia"
"RJCB","OBO","Obihiro","42.74412800:143.21203100","RJ","Japan"
"RJSR","ONJ","Odate Noshiro","40.19343600:140.35986400","RJ","Japan"
"EKOD","ODE","Odense","55.47148600:010.31529200","EK","Denmark"
"UKOO","ODS","Odesa Intl","46.43877800:030.67126100","UK","Ukraine"
"EGVO","ODH","Odiham","51.23455772:-000.95588273","EG","United Kingdom"
"LTAJ","GZT","Oguzeli","36.95008100:037.46154700","LT","Turkey"
"NZOH","OHA","Ohakea","-40.20222200:175.37261100","NZ","New Zealand, Antarctica"
"LWOH","OHD","Ohrid","41.16904700:020.73772500","LW","Macedonia"
"SBOI","OYK","Oiapoque","03.85016100:-051.79793600","SB","Brazil"
"RJFO","OIT","Oita","33.46598100:131.73700600","RJ","Japan"
"WAKO","OKQ","Okaba (dgac)","-09.09476370:139.72116089","WA","Indonesia"
"RJOB","OKJ","Okayama","34.75001900:133.84135800","RJ","Japan"
"RJNO","OKI","Oki","36.17501100:133.31324200","RJ","Japan"
"RJKB","OKE","Okierabu","27.42579700:128.70094200","RJ","Japan"
"FOGQ","OKN","Okondja","-00.66718900:013.66668300","FO","Gabon"
"WAJO","OKL","Oksibil (dgac)","-04.90628326:140.62570401","WA","Indonesia"
"RJEO","OIR","Okushiri","42.07496900:139.42519700","RJ","Japan"
"LIEO","OLB","Olbia Costa Smeralda","40.89241100:009.50568600","LI","Italy"
"CYOC","YOC","Old Crow","67.56610800:-139.85500000","CY","Canada"
"LKOL","OLO","Olomouc","49.58722330:017.21702445","LK","Czech Republic"
"FOOH","OMB","Omboue Hopital","-01.56956100:009.25759400","FO","Gabon"
"OIAJ","OMI","Omidiyeh","30.84550000:049.51500000","OI","Iran"
"UNOO","OMS","Omsk","54.96630300:073.28895800","UN","Russia"
"FYOA","OND","Ondangwa","-17.88380600:015.93975600","FY","Namibia"
"CZML","ZMH","One Zero Eight Mile Airport","51.74301900:-121.33693900","CZ","Canada"
"EBOS","OST","Oostende","51.19819887:002.86771746","EB","Belgium"
"LROD","OMR","Oradea","47.01744200:021.90013600","LR","Romania"
"SASO","ORA","Oran","-23.15930600:-064.33047200","SA","Argentina"
"YORG","OAG","Orange","-33.37750725:149.12376684","YO","Australia"
"FYOG","OMD","Oranjemund","-28.59194400:016.44666700","FY","Namibia"
"YORB","RBS","Orbost","-37.79062611:148.60355866","YO","Australia"
"ESOE","ORB","Orebro","59.21098300:015.03281400","ES","Sweden"
"UWOO","REN","Orenburg","51.79576400:055.43859400","UW","Russia"
"MUMO","MOA","Orestes Acosta","20.65027800:-074.93007500","MU","Cuba"
"SYOR","ORJ","Orinduik","-04.72989216:-060.03604903","SY","Guyana"
"ENOL","OLA","Orland","63.70985600:009.59198900","EN","Norway"
"RPVO","OMC","Ormoc","11.06637800:124.56590000","RP","Philippines"
"ESNO","OER","Ornskoldsvik","63.41398100:018.97108300","ES","Sweden"
"SKOE","ORC","Orocue","-04.79733202:-071.36032026","SK","Colombia"
"UWOR","OSW","Orsk","51.06949700:058.57538100","UW","Russia"
"ENOV","HOV","Orsta Volda Hovden","62.17804848:006.06638417","EN","Norway"
"RJOO","ITM","Osaka Intl","34.79132500:135.42870600","RJ","Japan"
"RKSO","OSN","Osan Ab","37.08933900:127.01424200","RK","South Korea"
"UAFO","OSS","Osh","40.61500000:072.78166700","UA","Kazakhstan, Kyrgyzstan"
"CYOO","YOO","Oshawa","43.92444400:-078.90388900","CY","Canada"
"RJTO","OIM","Oshima","34.77416700:139.35690800","RJ","Japan"
"LDOS","OSI","Osijek","45.46630000:018.79637800","LD","Croatia"
"ESMO","OSK","Oskarshamn","57.34211100:016.49659700","ES","Sweden"
"ENGM","OSL","Oslo Gardermoen","60.18500000:011.07374400","EN","Norway"
"VGSY","ZYL","Osmany Intl","24.96833600:091.85361700","VG","Bangladesh"
"UKHH","HRK","Osnova Intl","49.92485600:036.27453300","UK","Ukraine"
"SVAC","AGV","Oswaldo Guevara Mujica","09.55558100:-069.24556400","SV","Venezuela"
"CYOW","YOW","Ottawa Macdonald Cartier Intl","45.32708900:-075.68582200","CY","Canada"
"SKOT","OYU","Otu","07.01437500:-074.71698300","SK","Colombia"
"DFFD","OUA","Ouagadougou","12.34167800:-001.52024700","DF","Burkina Faso"
"DFCC","OUG","Ouahigouya","13.56222000:-002.43096600","DF","Burkina Faso"
"FMCV","AJN","Ouani","-12.13100000:044.42419400","FM","Comoros, Madagascar, Mayotte, Réunion"
"DAUU","OGX","Ouargla","31.93013300:005.41646400","DA","Algeria"
"GMMZ","OZZ","Ouarzazate","30.94515800:-006.92343600","GM","Morocco"
"FAOH","OUH","Oudtshoorn","-33.61457992:022.18755995","FA","South Africa"
"DAUH","HME","Oued Irara","31.68650000:006.14163300","DA","Algeria"
"FCOU","OUE","Ouesso","01.60705600:016.03564700","FC","Republic of the Congo"
"EFOU","OUL","Oulu","64.93583600:025.33189400","EF","Finland"
"KATW","ATW","Outagamie Co Rgnl","44.24893100:-088.52618100","KA","United States of America"
"NWWV","UVE","Ouvea","-20.63658600:166.56960600","NW","New Caledonia"
"LLOV","VDA","Ovda","29.92716400:034.93173100","LL","Israel"
"FCOO","FTX","Owando","-00.53283300:015.94215600","FC","Republic of the Congo"
"MWCR","GCM","Owen Roberts Intl","19.29042500:-081.36763600","MW","Cayman Islands"
"FOGO","OYE","Oyem","01.53571900:011.57801100","FO","Gabon"
"RPMO","OZC","Ozamis","08.17188300:123.83744200","RP","Philippines"
"FAKD","KXE","P C Pelser","-26.86451799:026.71626073","FA","South Africa"
"WIMG","PDG","Padang Tabing","-00.86584700:100.34859200","WI","Indonesia"
"EDLP","PAD","Paderborn Lippstadt","51.60888100:008.60308600","ED","Germany"
"SPTU","PEM","Padre Aldamiz","-12.62891700:-069.22877800","SP","Peru"
"LCPH","PFO","Pafos Intl","34.72225600:032.47189200","LC","Cyprus"
"RPMP","PAG","Pagadian","07.81975300:123.45611700","RP","Philippines"
"NSTU","PPG","Pago Pago Intl","-14.34053300:-170.72533100","NS","Samoa, American Samoa"
"ESUP","PJA","Pajala","67.24884200:023.05452500","ES","Sweden"
"EYPP","PNV","Pajuostis","55.73611100:024.45055600","EY","Lithuania"
"VLPS","PKZ","Pakse","15.13820800:105.77729400","VL","Laos"
"EYPA","PLQ","Palanga Intl","55.96446400:021.09032500","EY","Lithuania"
"WRBP","PKY","Palangkaraya Tjilik Riwut","-02.21626100:113.93926400","WR","Indonesia"
"WIPP","PLM","Palembang Sultan Mahmud Badaruddin Ii","-02.89387500:104.68953100","WI","Indonesia"
"LICJ","PMO","Palermo","38.17431400:013.08653100","LI","Italy"
"YPAM","PKM","Palm Is","-18.75107776:146.57811728","YP","Australia"
"LEPA","PMI","Palma De Mallorca","39.54710459:002.71078511","LE","Spain"
"MRPM","PMZ","Palmar Sur","08.94571100:-083.47204200","MR","Costa Rica"
"SVPT","PMT","Palmarito","07.57247200:-070.17841700","SV","Venezuela"
"PAAQ","PAQ","Palmer Muni","61.60398900:-149.08749700","PA","Alaska"
"NZPM","PMR","Palmerston North","-40.32138900:175.60333300","NZ","New Zealand, Antarctica"
"OSPR","PMS","Palmyra","34.55599200:038.30125300","OS","Syria"
"SKBG","BGA","Palonegro","07.13605600:-073.18838900","SK","Colombia"
"WAML","PLW","Palu Mutiara","-00.91000800:119.90586700","WA","Indonesia"
"LEPP","PNA","Pamplona","42.77954247:-001.65325278","LE","Spain"
"SBBH","PLU","Pampulha","-19.84721400:-043.96182500","SB","Brazil"
"WIKK","PGK","Pangkal Pinang Depati Amir","-02.15350000:106.13667800","WI","Indonesia"
"WRBI","PKN","Pangkalan Bun Iskandar","-02.70016100:111.66773100","WR","Indonesia"
"CYXP","YXP","Pangnirtung","66.14313900:-065.72225300","CY","Canada"
"SCTL","TLX","Panguilemo","-35.38173900:-071.60553900","SC","Chile"
"OPPG","PJG","Panjgur","26.95910000:064.12684400","OP","Pakistan"
"LICG","PNL","Pantelleria","36.81412800:011.95690000","LI","Italy"
"VIPT","PGH","Pantnagar","29.03413900:079.46813300","VI","India"
"EGEP","PPW","Papa Westray","59.34934324:-002.90214848","EG","United Kingdom"
"YPBO","PBO","Paraburdoo","-23.17545369:117.73747854","YP","Australia"
"MYPI","PID","Paradise Island","25.07795169:-077.30148104","MY","Bahamas"
"DBBP","PKO","Parakou","09.35111200:002.60473800","DB","Benin"
"SMJP","PBM","Paramaribo Johan A Pengel Intl","05.45273900:-055.20349400","SM","Suriname"
"SVPM","SCI","Paramillo","07.79648900:-072.20392200","SV","Venezuela"
"SSPG","PNG","Paranagua","-25.54444700:-048.53658900","SS","Brazil"
"NZPP","PPQ","Paraparaumu","-40.89738300:174.98839200","NZ","New Zealand, Antarctica"
"LKPD","PED","Pardubice","50.01395800:015.72122500","LK","Czech Republic"
"SWPI","PIN","Parintins","-02.67861400:-056.78302500","SW","Brazil"
"LFPG","CDG","Paris Charles De Gaulle","48.99568600:002.55274400","LF","France"
"LFPB","LBJ","Paris Le Bourget","48.96498055:002.42172715","LF","France"
"LFPO","ORY","Paris Orly","48.71996610:002.31692799","LF","France"
"YPKS","PKE","Parkes","-33.13724358:148.23057872","YP","Australia"
"LIMP","PMF","Parma","44.81765600:010.29312900","LI","Italy"
"EEPU","EPU","Parnu","58.40971100:024.46054700","EE","Estonia"
"VQPR","PBH","Paro","27.41090800:089.41971700","VQ","Bhutan"
"LGPA","PAS","Paros","37.01979483:025.13329700","LG","Greece"
"OITP","PFQ","Parsabade Moghan","39.60778600:047.86740000","OI","Iran"
"URKK","KRR","Pashkovskiy","45.02602800:039.17336700","UR","Russia"
"OPPI","PSI","Pasni","25.28369700:063.33286400","OP","Pakistan"
"SARL","AOL","Paso De Los Libres","-29.67935000:-057.15393300","SA","Argentina"
"VIPK","IXP","Pathankot","32.22145600:075.63225600","VI","India"
"VYPN","BSX","Pathein","16.81256700:094.77426400","VY","Myanmar"
"VEPT","PAT","Patna","25.58806100:085.07894400","VE","India"
"SSPB","PTO","Pato Branco","-26.22174700:-052.70082800","SS","Brazil"
"BIPA","PFJ","Patreksfjordur","65.55916400:-023.97907500","BI","Iceland"
"VTSK","PAN","Pattani","06.78503300:101.14724400","VT","Thailand"
"LFBP","PUF","Pau Pyrenees","43.38765800:-000.43326100","LF","France"
"CYPC","YPC","Paulatuk","69.35597500:-124.06390600","CY","Canada"
"SBUF","PAV","Paulo Afonso","-09.39733600:-038.25794700","SB","Brazil"
"SKPZ","PZA","Paz De Ariporo","05.87045300:-071.89031100","SK","Colombia"
"CYPE","YPE","Peace River","56.22333100:-117.45778100","CY","Canada"
"LHPP","PEV","Pecs South","45.99555600:018.23833300","LH","Hungary"
"MDCR","CBJ","Pedernales Cabo Rojo","17.93123900:-071.65148100","MD","Dominican Republic"
"SPME","TBP","Pedro Canga","-03.54376100:-080.38835600","SP","Peru"
"WIBB","PKU","Pekanbaru Sultan Syarif Kasim Ii","00.47088300:101.44483100","WI","Indonesia"
"SBPK","PET","Pelotas","-31.72399700:-052.33590000","SB","Brazil"
"FQPB","POL","Pemba","-12.98562800:040.52207800","FQ","Mozambique"
"HTPE","PMA","Pemba","-05.26365000:039.80881400","HT","Tanzania"
"CYTA","YTA","Pembroke","45.87083300:-077.25555300","CY","Canada"
"WMKP","PEN","Penang Intl","05.28590000:100.26669400","WM","Malaysia"
"WIPQ","PDO","Pendopo","-03.29100000:103.87641900","WI","Indonesia"
"CYYF","YYF","Penticton","49.46944400:-119.60083100","CY","Canada"
"SKIB","IBE","Perales","04.42694700:-075.13938600","SK","Colombia"
"LFBX","PGX","Perigueux Bassillac","45.20041100:000.80576900","LF","France"
"SAWP","PMQ","Perito Moreno","-46.53515300:-070.98896100","SA","Argentina"
"LFAG","XSJ","Peronne St Quentin","49.86866900:003.01989700","LF","France"
"PAPE","KPV","Perryville","55.90559400:-159.16268600","PA","Alaska"
"YPPH","PER","Perth Intl","-31.95873900:115.95968300","YP","Australia"
"EGPT","PSL","Perth Scone","56.43575969:-003.37556976","EG","United Kingdom"
"LIRZ","PEG","Perugia","43.08851100:012.51064200","LI","Italy"
"LIBP","PSR","Pescara","42.42261300:014.17399400","LI","Italy"
"OPPS","PEW","Peshawar Intl","34.00600600:071.51354400","OP","Pakistan"
"CYWA","YWA","Petawawa","45.95638900:-077.32305800","CY","Canada"
"CYPQ","YPQ","Peterborough","44.22844700:-078.37487800","CY","Canada"
"PAPG","PSG","Petersburg James A Johnson","56.79894400:-132.95941900","PA","Alaska"
"UHMP","PWE","Pevek","69.79419200:170.58968600","UH","Russia"
"FAPH","PHW","Phalaborwa","-23.94236335:031.15669945","FA","South Africa"
"VTPB","PHY","Phetchabun","16.68552500:101.19511700","VT","Thailand"
"FMNM","MJN","Philibert Tsiranana","-15.66046400:046.34422200","FM","Comoros, Madagascar, Mayotte, Réunion"
"MZBZ","BZE","Philip S W Goldson Intl","17.53690000:-088.31812500","MZ","Belize"
"KAPG","APG","Phillips Aaf","39.45581100:-076.17503900","KA","United States of America"
"VTPP","PHS","Phitsanulok","16.79388900:100.27083100","VT","Thailand"
"VDPP","PNH","Phnom Penh Intl","11.53713300:104.83433300","VD","Cambodia"
"ZJSY","SYX","Phoenix Intl","18.30082800:109.39639200","ZJ","People\'s Republic of China"
"VTCP","PRH","Phrae","18.12539200:100.16397500","VT","Thailand"
"VVPQ","PQC","Phu Quoc","10.22523900:103.95774200","VV","Vietnam"
"VVPB","HUI","Phubai","16.40217200:107.68999700","VV","Vietnam"
"VVPC","UIH","Phucat","13.96650600:109.03451100","VV","Vietnam"
"VTSP","HKT","Phuket Intl","08.11189200:098.30327500","VT","Thailand"
"SCVD","ZAL","Pichoy","-39.64051900:-073.08645600","SC","Chile"
"CYPL","YPL","Pickle Lake","51.44651400:-090.22491900","CY","Canada"
"LPPI","PIX","Pico","38.55182700:-028.45272200","LP","Portugal"
"NZPN","PCN","Picton","-41.34065548:173.95471482","NZ","New Zealand, Antarctica"
"MMPG","PDS","Piedras Negras Intl","28.63287200:-100.54351700","MM","Mexico"
"LZPP","PZY","Piestany","48.61651400:017.82521900","LZ","Slovakia"
"FAPM","PZB","Pietermaritzburg","-29.64316786:030.39424031","FA","South Africa"
"FAPN","NTY","Pilanesberg","-25.34369428:027.16532789","FA","South Africa"
"PAPN","PIP","Pilot Point","57.58038100:-157.58031400","PA","Alaska"
"MUPR","QPD","Pinar Del Rio","22.41996900:-083.68365000","MU","Cuba"
"MBPI","PIC","Pine Cay","21.90116959:-072.10547026","MB","Turks and Caicos Islands"
"RCSQ","PIF","Pingtung North","22.69769400:120.47066700","RC","Republic of China (Taiwan)"
"SNYE","PHI","Pinheiro","-02.48044700:-045.11247500","SN","Brazil"
"SBFZ","FOR","Pinto Martins","-03.77334200:-038.54365000","SB","Brazil"
"LIRP","PSA","Pisa","43.67308300:010.38323300","LI","Italy"
"SPSO","PIO","Pisco Intl","-13.75562200:-076.22888100","SP","Peru"
"SKPI","DTX","Pitalito","01.85440000:-076.09155600","SK","Colombia"
"CYPK","YPK","Pitt Meadows","49.21467238:-122.72246231","CY","Canada"
"WAMR","OTI","Pitu","02.04573900:128.31391900","WA","Indonesia"
"GMAT","TTA","Plage Blanche","28.44021700:-011.16611900","GM","Morocco"
"FIMR","RRG","Plaine Corail","-19.75606900:063.35507200","FI","Mauritius"
"MMIO","SLW","Plan De Guadalupe Intl","25.55145800:-100.92846400","MM","Mexico"
"PAPM","PTU","Platinum","59.01560800:-161.82313900","PA","Alaska"
"MMZO","ZLO","Playa De Oro Intl","19.14753900:-104.56867800","MM","Mexico"
"VVPK","PXU","Pleiku","14.00466900:108.00874700","VV","Vietnam"
"FAPG","PBZ","Plettenberg Bay","-34.08942038:023.32123197","FA","South Africa"
"LBPD","PDV","Plovdiv","42.07458600:024.83877800","LB","Bulgaria"
"EGHD","PLH","Plymouth","50.42562930:-004.11287018","EG","United Kingdom"
"SBPC","POO","Pocos De Caldas","-21.84495300:-046.57359700","SB","Brazil"
"LYPG","TGD","Podgorica","42.37061700:019.25302200","LY","Serbia and Montenegro"
"RKTH","KPO","Pohang","35.98773600:129.40867200","RK","South Korea"
"PTPN","PNI","Pohnpei Intl","06.98527200:158.20078900","PT","Federated States of Micronesia, Palau"
